yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,serverResponse,server,http://localhost:8080/testfiles/5mb,9.799999999813735
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,439.19999996433035
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,437.60999996447936
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,527.399999962654
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,501.8900000141002
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,497.7599999983795
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,453.29999999376014
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,494.6549999876879
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,482.50499996356666
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,423.62999997567385
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,443.54000000748783
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,445.78499998897314
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,432.64499999349937
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,489.6100000478327
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,460.76499996706843
9qr46jPtDTv6fOWO2sf0Z2n8S-57IQl4,peerResponse,yid_HSBq7Gfqzalna0oh0UzdT1n6WUav,http://localhost:8080/testfiles/5mb,445.22000005235896
